Date,OrderID,CustomerID,CustomerSegment,Product,Category,Region,Store,Units,Sales,Cost
2024-04-22,ORD1340,CUST2340,Corporate,Headset Premium,Accessories,Midwest,Detroit,2,367.88,183.95
2024-04-25,ORD1222,CUST2222,Small Business,"Monitor 27""",Displays,Midwest,Minneapolis,5,2291.13,1431.99
2024-04-26,ORD1056,CUST2056,Corporate,"Monitor 32""",Displays,Southeast,Miami,1,651.17,414.39
2024-04-29,ORD1067,CUST2067,Small Business,Mechanical Keyboard,Accessories,Northeast,New York,2,302.54,151.28
2024-05-01,ORD1069,CUST2069,Small Business,Tablet X,Mobile Devices,West,San Francisco,2,1410.11,987.09
2024-05-02,ORD1173,CUST2173,Small Business,Router Mesh,Networking,Midwest,Minneapolis,1,230.08,138.05
2024-05-02,ORD1300,CUST2300,Corporate,Switch 8-Port,Networking,Southeast,Miami,1,98.93,54.97
2024-05-05,ORD1175,CUST2175,Consumer,External Drive 1TB,Storage,West,Los Angeles,1,95.76,53.87
2024-05-05,ORD1259,CUST2259,Consumer,SSD 500GB,Storage,West,Los Angeles,1,135.46,79.03
2024-05-12,ORD1023,CUST2023,Small Business,Tablet X,Mobile Devices,Southeast,Atlanta,1,693.42,485.41
2024-05-13,ORD1037,CUST2037,Consumer,Wireless Mouse,Accessories,Southeast,Miami,4,231.77,92.73
2024-05-15,ORD1346,CUST2346,Consumer,Mechanical Keyboard,Accessories,Northeast,Philadelphia,3,429.38,214.7
2024-05-17,ORD1345,CUST2345,Corporate,Router Mesh,Networking,Southeast,Charlotte,1,235.06,141.04
2024-05-18,ORD1109,CUST2109,Consumer,Tablet X,Mobile Devices,Northeast,Boston,3,2162.93,1514.08
2024-05-25,ORD1127,CUST2127,Corporate,Router Mesh,Networking,Northeast,Boston,2,479.65,287.8
2024-06-01,ORD1315,CUST2315,Corporate,"Monitor 27""",Displays,Southeast,Atlanta,3,1371.94,857.48
2024-06-05,ORD1131,CUST2131,Corporate,Printer Pro,Peripherals,West,San Francisco,1,346.76,208.06
2024-06-12,ORD1225,CUST2225,Consumer,Smartphone Plus,Mobile Devices,Midwest,Chicago,1,1076.94,777.8
2024-06-15,ORD1122,CUST2122,Small Business,Router Mesh,Networking,Midwest,Chicago,1,237.22,142.34
2024-06-15,ORD1244,CUST2244,Corporate,Printer Pro,Peripherals,Northeast,Philadelphia,1,348.52,209.12
2024-06-17,ORD1330,CUST2330,Corporate,"Monitor 32""",Displays,West,San Francisco,1,660.86,420.55
2024-06-21,ORD1105,CUST2105,Corporate,Scanner Plus,Peripherals,Northeast,Boston,1,278.27,166.97
2024-06-21,ORD1332,CUST2332,Consumer,Webcam HD,Accessories,West,San Francisco,1,100.22,50.11
2024-06-27,ORD1039,CUST2039,Consumer,Mechanical Keyboard,Accessories,Northeast,Philadelphia,3,429.12,214.57
2024-06-29,ORD1291,CUST2291,Small Business,Webcam HD,Accessories,Midwest,Minneapolis,2,213.26,106.64
2024-07-02,ORD1233,CUST2233,Consumer,Laptop Pro,Computers,Southeast,Charlotte,1,1420.47,1038.05
2024-07-03,ORD1059,CUST2059,Corporate,Webcam HD,Accessories,Northeast,Boston,1,108.28,54.14
2024-07-04,ORD1333,CUST2333,Corporate,Switch 8-Port,Networking,Southeast,Atlanta,3,299.42,166.37
2024-07-06,ORD1155,CUST2155,Corporate,Headset Premium,Accessories,Midwest,Chicago,3,576.48,288.26
2024-07-07,ORD1034,CUST2034,Consumer,Laptop Pro,Computers,Northeast,Boston,1,1492.2,1090.46
2024-07-09,ORD1038,CUST2038,Consumer,Desktop Elite,Computers,Midwest,Chicago,2,3681.03,2760.79
2024-07-10,ORD1135,CUST2135,Consumer,External Drive 1TB,Storage,West,San Francisco,5,447.93,251.99
2024-07-11,ORD1324,CUST2324,Consumer,SSD 500GB,Storage,West,Seattle,1,133.23,77.72
2024-07-15,ORD1074,CUST2074,Corporate,Router Mesh,Networking,Southeast,Charlotte,1,235.78,141.47
2024-07-17,ORD1125,CUST2125,Corporate,Desktop Elite,Computers,West,Seattle,1,1769.32,1327.0
2024-07-18,ORD1258,CUST2258,Corporate,Wireless Mouse,Accessories,Northeast,Boston,1,58.74,23.5
2024-07-18,ORD1261,CUST2261,Small Business,Mechanical Keyboard,Accessories,Southeast,Miami,3,428.53,214.28
2024-07-25,ORD1280,CUST2280,Small Business,Headset Premium,Accessories,Southeast,Atlanta,2,367.98,184.0
2024-07-27,ORD1294,CUST2294,Small Business,Printer Pro,Peripherals,Midwest,Chicago,2,681.68,409.02
2024-07-28,ORD1014,CUST2014,Corporate,Printer Pro,Peripherals,West,Los Angeles,1,362.15,217.29
2024-07-28,ORD1186,CUST2186,Consumer,Laptop Pro,Computers,Midwest,Chicago,1,1534.22,1121.17
2024-08-02,ORD1145,CUST2145,Consumer,Mechanical Keyboard,Accessories,Southeast,Atlanta,2,295.47,147.74
2024-08-11,ORD1150,CUST2150,Small Business,Scanner Plus,Peripherals,Midwest,Chicago,1,273.35,164.01
2024-08-12,ORD1121,CUST2121,Consumer,Laptop Pro,Computers,Midwest,Minneapolis,2,2892.86,2114.03
2024-08-12,ORD1329,CUST2329,Corporate,Webcam HD,Accessories,Midwest,Chicago,3,325.54,162.79
2024-08-13,ORD1029,CUST2029,Corporate,Switch 8-Port,Networking,Southeast,Miami,1,99.32,55.18
2024-08-14,ORD1286,CUST2286,Corporate,"Monitor 32""",Displays,Northeast,Philadelphia,1,640.65,407.69
2024-08-16,ORD1204,CUST2204,Corporate,Router Mesh,Networking,Midwest,Minneapolis,1,220.06,132.04
2024-08-21,ORD1079,CUST2079,Consumer,Laptop Pro,Computers,West,San Francisco,4,5859.53,4281.99
2024-08-26,ORD1200,CUST2200,Corporate,External Drive 1TB,Storage,Northeast,New York,2,178.85,100.62
2024-08-30,ORD1193,CUST2193,Consumer,Switch 8-Port,Networking,Midwest,Chicago,1,104.52,58.07
2024-09-01,ORD1073,CUST2073,Small Business,Webcam HD,Accessories,West,Los Angeles,3,308.19,154.11
2024-09-02,ORD1190,CUST2190,Consumer,Tablet X,Mobile Devices,Northeast,Boston,2,1317.85,922.51
2024-09-03,ORD1219,CUST2219,Consumer,External Drive 1TB,Storage,Southeast,Atlanta,3,283.45,159.46
2024-09-08,ORD1002,CUST2002,Small Business,Laptop Pro,Computers,Southeast,Charlotte,2,2965.91,2167.42
2024-09-10,ORD1005,CUST2005,Corporate,Printer Pro,Peripherals,Northeast,Philadelphia,2,722.62,433.59
2024-09-16,ORD1160,CUST2160,Corporate,"Monitor 32""",Displays,Northeast,Philadelphia,3,1859.93,1183.61
2024-09-21,ORD1174,CUST2174,Small Business,Desktop Elite,Computers,Midwest,Detroit,4,7036.72,5277.58
2024-09-24,ORD1199,CUST2199,Corporate,Router Mesh,Networking,Midwest,Chicago,3,672.26,403.37
2024-09-26,ORD1041,CUST2041,Small Business,Tablet X,Mobile Devices,West,Los Angeles,2,1354.64,948.26
2024-09-26,ORD1287,CUST2287,Consumer,External Drive 1TB,Storage,Southeast,Charlotte,1,96.11,54.07
2024-09-29,ORD1082,CUST2082,Small Business,Laptop Pro,Computers,West,Los Angeles,2,2865.58,2094.09
2024-09-30,ORD1063,CUST2063,Corporate,Webcam HD,Accessories,Northeast,Philadelphia,2,210.43,105.23
2024-09-30,ORD1140,CUST2140,Small Business,External Drive 1TB,Storage,Northeast,New York,3,272.65,153.39
2024-10-04,ORD1091,CUST2091,Corporate,"Monitor 32""",Displays,Northeast,Philadelphia,3,1916.52,1219.62
2024-10-04,ORD1267,CUST2267,Consumer,Scanner Plus,Peripherals,Midwest,Detroit,3,878.42,527.07
2024-10-05,ORD1237,CUST2237,Consumer,Smartphone Plus,Mobile Devices,Midwest,Chicago,1,1018.28,735.43
2024-10-08,ORD1212,CUST2212,Consumer,Webcam HD,Accessories,Northeast,New York,2,204.63,102.33
2024-10-10,ORD1177,CUST2177,Small Business,Webcam HD,Accessories,West,Los Angeles,1,103.55,51.78
2024-10-12,ORD1094,CUST2094,Consumer,Router Mesh,Networking,Southeast,Miami,2,481.39,288.85
2024-10-13,ORD1152,CUST2152,Small Business,"Monitor 27""",Displays,Midwest,Minneapolis,2,936.62,585.4
2024-10-14,ORD1075,CUST2075,Consumer,Printer Pro,Peripherals,West,Los Angeles,1,330.41,198.25
2024-10-15,ORD1349,CUST2349,Consumer,Switch 8-Port,Networking,West,Seattle,2,205.14,113.98
2024-10-16,ORD1000,CUST2000,Corporate,Smartphone Plus,Mobile Devices,Northeast,Philadelphia,1,997.68,720.56
2024-10-16,ORD1307,CUST2307,Corporate,External Drive 1TB,Storage,West,Los Angeles,1,93.55,52.63
2024-10-17,ORD1011,CUST2011,Consumer,"Monitor 32""",Displays,Midwest,Chicago,3,1955.35,1244.33
2024-10-17,ORD1198,CUST2198,Corporate,SSD 500GB,Storage,Midwest,Chicago,1,135.57,79.09
2024-10-18,ORD1321,CUST2321,Corporate,SSD 500GB,Storage,Midwest,Detroit,3,430.8,251.32
2024-10-20,ORD1238,CUST2238,Corporate,Mechanical Keyboard,Accessories,West,Los Angeles,2,308.29,154.16
2024-10-25,ORD1093,CUST2093,Corporate,Webcam HD,Accessories,Northeast,New York,1,108.26,54.13
2024-10-31,ORD1031,CUST2031,Small Business,Smartphone Plus,Mobile Devices,Northeast,New York,1,1072.42,774.54
2024-10-31,ORD1310,CUST2310,Small Business,Headset Premium,Accessories,Southeast,Atlanta,1,180.43,90.22
2024-11-02,ORD1013,CUST2013,Corporate,Switch 8-Port,Networking,West,Los Angeles,1,129.69,72.06
2024-11-02,ORD1242,CUST2242,Corporate,Webcam HD,Accessories,Midwest,Chicago,1,133.19,66.6
2024-11-06,ORD1134,CUST2134,Small Business,Switch 8-Port,Networking,Southeast,Miami,1,132.28,73.5
2024-11-15,ORD1097,CUST2097,Corporate,External Drive 1TB,Storage,Midwest,Chicago,3,347.34,195.4
2024-11-15,ORD1347,CUST2347,Consumer,Desktop Elite,Computers,Northeast,New York,3,6983.23,5237.46
2024-11-16,ORD1028,CUST2028,Consumer,Switch 8-Port,Networking,Southeast,Charlotte,2,279.36,155.22
2024-11-16,ORD1055,CUST2055,Small Business,"Monitor 32""",Displays,Midwest,Chicago,1,852.84,542.72
2024-11-19,ORD1276,CUST2276,Consumer,Switch 8-Port,Networking,Midwest,Minneapolis,3,400.82,222.7
2024-11-19,ORD1327,CUST2327,Consumer,Desktop Elite,Computers,Southeast,Charlotte,1,2328.44,1746.34
2024-11-23,ORD1157,CUST2157,Corporate,External Drive 1TB,Storage,Midwest,Chicago,1,120.02,67.52
2024-11-24,ORD1090,CUST2090,Consumer,External Drive 1TB,Storage,West,Los Angeles,1,121.86,68.56
2024-11-27,ORD1016,CUST2016,Corporate,SSD 500GB,Storage,Northeast,New York,2,357.62,208.63
2024-11-27,ORD1316,CUST2316,Small Business,"Monitor 27""",Displays,West,Seattle,1,571.41,357.14
2024-11-30,ORD1146,CUST2146,Consumer,"Monitor 32""",Displays,West,Los Angeles,1,833.57,530.47
2024-12-02,ORD1216,CUST2216,Corporate,Tablet X,Mobile Devices,West,Los Angeles,1,879.84,615.9
2024-12-03,ORD1151,CUST2151,Consumer,Desktop Elite,Computers,West,San Francisco,2,4713.32,3535.01
2024-12-05,ORD1285,CUST2285,Small Business,Laptop Pro,Computers,West,San Francisco,2,3994.31,2918.94
2024-12-06,ORD1114,CUST2114,Consumer,Switch 8-Port,Networking,Midwest,Chicago,1,131.61,73.13
2024-12-07,ORD1104,CUST2104,Small Business,Mechanical Keyboard,Accessories,Southeast,Atlanta,1,198.7,99.36
2024-12-09,ORD1101,CUST2101,Small Business,"Monitor 32""",Displays,Midwest,Minneapolis,1,826.63,526.05
2024-12-14,ORD1163,CUST2163,Small Business,SSD 500GB,Storage,Southeast,Miami,1,179.19,104.54
2024-12-19,ORD1313,CUST2313,Small Business,Switch 8-Port,Networking,Southeast,Atlanta,2,279.11,155.08
2024-12-21,ORD1196,CUST2196,Corporate,"Monitor 32""",Displays,Midwest,Chicago,3,2353.8,1497.9
2024-12-23,ORD1230,CUST2230,Consumer,Switch 8-Port,Networking,West,Los Angeles,3,384.19,213.46
2024-12-25,ORD1348,CUST2348,Small Business,Wireless Mouse,Accessories,Northeast,Boston,1,71.45,28.59
